RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,est,lci,uci
0,0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,1,1.401,1.322,1.478
0,0,0,0,0,0,0,0,1,0,1.234,1.194,1.276
0,0,0,0,0,0,0,0,1,1,1.384,1.289,1.473
0,0,0,0,0,0,0,1,0,0,3.719,2.701,5.216
0,0,0,0,0,0,0,1,0,1,4.159,3.024,5.951
0,0,0,0,0,0,0,1,1,0,3.67,2.64,5.182
0,0,0,0,0,0,0,1,1,1,4.111,2.973,5.898
0,0,0,0,0,0,1,0,0,0,2.595,1.092,6.404
0,0,0,0,0,0,1,0,0,1,2.908,1.21,7.053
0,0,0,0,0,0,1,0,1,0,2.562,1.078,6.237
0,0,0,0,0,0,1,0,1,1,2.86,1.194,6.927
0,0,0,0,0,0,1,1,0,0,7.865,2.952,19.874
0,0,0,0,0,0,1,1,0,1,8.805,3.304,21.962
0,0,0,0,0,0,1,1,1,0,7.747,2.945,19.432
0,0,0,0,0,0,1,1,1,1,8.694,3.258,21.727
0,0,0,0,0,1,0,0,0,0,1.854,1.737,1.97
0,0,0,0,0,1,0,0,0,1,2.074,1.91,2.254
0,0,0,0,0,1,0,0,1,0,1.831,1.699,1.955
0,0,0,0,0,1,0,0,1,1,2.052,1.871,2.231
0,0,0,0,0,1,0,1,0,0,5.488,3.952,7.751
0,0,0,0,0,1,0,1,0,1,6.155,4.42,8.772
0,0,0,0,0,1,0,1,1,0,5.425,3.875,7.708
0,0,0,0,0,1,0,1,1,1,6.095,4.341,8.723
0,0,0,0,0,1,1,0,0,0,3.845,1.608,9.425
0,0,0,0,0,1,1,0,0,1,4.311,1.776,10.542
0,0,0,0,0,1,1,0,1,0,3.755,1.577,9.152
0,0,0,0,0,1,1,0,1,1,4.247,1.743,10.295
0,0,0,0,0,1,1,1,0,0,11.596,4.347,28.736
0,0,0,0,0,1,1,1,0,1,12.994,4.944,32.515
0,0,0,0,0,1,1,1,1,0,11.463,4.233,28.486
0,0,0,0,0,1,1,1,1,1,12.853,4.805,31.66
0,0,0,0,1,0,0,0,0,0,3.115,2.74,3.533
0,0,0,0,1,0,0,0,0,1,3.487,3.023,4.03
0,0,0,0,1,0,0,0,1,0,3.079,2.682,3.487
0,0,0,0,1,0,0,0,1,1,3.444,2.971,3.979
0,0,0,0,1,0,0,1,0,0,9.219,6.523,13.099
0,0,0,0,1,0,0,1,0,1,10.333,7.34,14.769
0,0,0,0,1,0,0,1,1,0,9.145,6.507,12.874
0,0,0,0,1,0,0,1,1,1,10.219,7.239,14.657
0,0,0,0,1,0,1,0,0,0,6.495,2.734,15.687
0,0,0,0,1,0,1,0,0,1,7.264,3.08,17.449
0,0,0,0,1,0,1,0,1,0,6.414,2.723,15.457
0,0,0,0,1,0,1,0,1,1,7.183,3.058,17.125
0,0,0,0,1,0,1,1,0,0,19.367,7.536,49.603
0,0,0,0,1,0,1,1,0,1,21.679,8.443,56.615
0,0,0,0,1,0,1,1,1,0,19.15,7.347,49.32
0,0,0,0,1,0,1,1,1,1,21.438,8.297,56.046
0,0,0,0,1,1,0,0,0,0,4.613,4.008,5.289
0,0,0,0,1,1,0,0,0,1,5.155,4.42,6.032
0,0,0,0,1,1,0,0,1,0,4.557,3.926,5.248
0,0,0,0,1,1,0,0,1,1,5.097,4.361,5.97
0,0,0,0,1,1,0,1,0,0,13.802,9.582,19.577
0,0,0,0,1,1,0,1,0,1,15.423,10.683,21.856
0,0,0,0,1,1,0,1,1,0,13.605,9.481,19.313
0,0,0,0,1,1,0,1,1,1,15.25,10.647,21.79
