"RF1","RF2","RF3","RF4","RF5","RF6","RF7","RF8","RF9","RF10","est","lci","uci"
0,0,0,0,0,0,0,0,0,0,0.00357471406320201,0.00269322523971336,0.00467915710894544
0,0,0,0,0,0,0,0,0,1,0.00501757414197305,0.00370823497700484,0.00663049534196711
0,0,0,0,0,0,0,0,1,0,0.00440999882378739,0.00331361400313327,0.00574563173440335
0,0,0,0,0,0,0,0,1,1,0.00494837410297908,0.00369580037594942,0.00655114548625548
0,0,0,0,0,0,0,1,0,0,0.0132346209501093,0.008489248007621,0.020847686389113
0,0,0,0,0,0,0,1,0,1,0.0149275153827187,0.00943452682257567,0.0235521188823523
0,0,0,0,0,0,0,1,1,0,0.0131050373697968,0.00841979544399044,0.0205513466205991
0,0,0,0,0,0,0,1,1,1,0.0147369652501351,0.00936661382169143,0.0232487503740462
0,0,0,0,0,0,1,0,0,0,0.00931975839671591,0.00374975440160397,0.0235737138923755
0,0,0,0,0,0,1,0,0,1,0.0104660569955413,0.00423249565642908,0.0265416748244582
0,0,0,0,0,0,1,0,1,0,0.00924680774391884,0.00369033496010873,0.0230879916116012
0,0,0,0,0,0,1,0,1,1,0.0103653516324347,0.00420462629832164,0.0257884045149824
0,0,0,0,0,0,1,1,0,0,0.0273960682234193,0.0100874573360981,0.0713213616844465
0,0,0,0,0,0,1,1,0,1,0.030712001341783,0.0116058822915236,0.0797549291415464
0,0,0,0,0,0,1,1,1,0,0.026945425636566,0.0102180269890605,0.070684998979569
0,0,0,0,0,0,1,1,1,1,0.0302373159470958,0.0114879935367125,0.0788854873457042
0,0,0,0,0,1,0,0,0,0,0.00663089622520782,0.00497437445264265,0.00881325073514913
0,0,0,0,0,1,0,0,0,1,0.00740943415888794,0.00550220572487969,0.00993387592416648
0,0,0,0,0,1,0,0,1,0,0.00653706810302965,0.00492398941155389,0.00865802854192679
0,0,0,0,0,1,0,0,1,1,0.00729968265628849,0.00543963463326547,0.00986726706114812
0,0,0,0,0,1,0,1,0,0,0.0195718511864007,0.0124436201245167,0.030868594987237
0,0,0,0,0,1,0,1,0,1,0.0220168052224532,0.0139140607264676,0.0353757363423084
0,0,0,0,0,1,0,1,1,0,0.0193814197597728,0.0123114334379509,0.0307223667413206
0,0,0,0,0,1,0,1,1,1,0.0216810527123077,0.0136181082604952,0.0348561616664331
0,0,0,0,0,1,1,0,0,0,0.0136855665134042,0.0055554632253988,0.0350557081756045
0,0,0,0,0,1,1,0,0,1,0.0154060229870377,0.00622157471918547,0.0390971289393115
0,0,0,0,0,1,1,0,1,0,0.0135594894117884,0.0054977267264517,0.0340620376130414
0,0,0,0,0,1,1,0,1,1,0.0152373966464475,0.00622830504754364,0.0382342283903099
0,0,0,0,0,1,1,1,0,0,0.0404823801731774,0.014943246219691,0.103885696587788
0,0,0,0,0,1,1,1,0,1,0.0452620115831975,0.0167800644123758,0.115024554429192
0,0,0,0,0,1,1,1,1,0,0.0399718737174091,0.0147436381125762,0.102435254927366
0,0,0,0,0,1,1,1,1,1,0.0446196551314379,0.016630524316437,0.114384052734438
0,0,0,0,1,0,0,0,0,0,0.0111175408576519,0.00814032682603248,0.015130788673152
0,0,0,0,1,0,0,0,0,1,0.0124126900098948,0.00904798317440806,0.0169178679813317
0,0,0,0,1,0,0,0,1,0,0.0110042929818873,0.00809682692327997,0.0149191798037329
0,0,0,0,1,0,0,0,1,1,0.0122806755967873,0.00894204559393105,0.0165925099817992
0,0,0,0,1,0,0,1,0,0,0.0330270848281227,0.0203406600836625,0.0515910546262169
0,0,0,0,1,0,0,1,0,1,0.0369643827553558,0.0226650648979796,0.0582355053102673
0,0,0,0,1,0,0,1,1,0,0.0326154597728782,0.0200489345229365,0.0508732664392839
0,0,0,0,1,0,0,1,1,1,0.0365065286659839,0.0222868910639307,0.0573985334969112
0,0,0,0,1,0,1,0,0,0,0.0229164099263182,0.0093715456321137,0.0584520600532063
0,0,0,0,1,0,1,0,0,1,0.0256699719665679,0.0104665436179396,0.0652995091153788
0,0,0,0,1,0,1,0,1,0,0.0227920706505048,0.00930937500866794,0.0576071741384266
0,0,0,0,1,0,1,0,1,1,0.0255017611108112,0.0104688159257023,0.0640197275098778
0,0,0,0,1,0,1,1,0,0,0.0670332247159482,0.0254070411826403,0.167160805377813
0,0,0,0,1,0,1,1,0,1,0.0745851490282989,0.028925885281156,0.184300882837086
0,0,0,0,1,0,1,1,1,0,0.0659782695900606,0.0256677835770774,0.16490648808713
0,0,0,0,1,0,1,1,1,1,0.0733333650810796,0.0287764678062753,0.18151838913757
0,0,0,0,1,1,0,0,0,0,0.0164255282697559,0.0120556994133492,0.022515724623233
0,0,0,0,1,1,0,0,0,1,0.0184215987286474,0.0134214968633579,0.0250719362001468
0,0,0,0,1,1,0,0,1,0,0.0162409584311939,0.0119492705666819,0.022401750351082
0,0,0,0,1,1,0,0,1,1,0.0181722010647348,0.0132879125104151,0.0247130396600414
0,0,0,0,1,1,0,1,0,0,0.0485857101989984,0.0300529403821254,0.0761509316142748
0,0,0,0,1,1,0,1,0,1,0.0541630145470157,0.0328740093433408,0.0848535330169187
0,0,0,0,1,1,0,1,1,0,0.0478996752810889,0.0297968915289752,0.0751341146364894
0,0,0,0,1,1,0,1,1,1,0.05365479494021,0.0327266214167658,0.0840202151543393
0,0,0,0,1,1,1,0,0,0,0.0336887066982834,0.0137411214378818,0.0861554611391432
0,0,0,0,1,1,1,0,0,1,0.0377880153932382,0.0153500451698964,0.0966950388404816
0,0,0,0,1,1,1,0,1,0,0.0333247970539543,0.0136950592139383,0.0841618411072274
0,0,0,0,1,1,1,0,1,1,0.0375253963213947,0.0152485182027798,0.0941571622588339
0,0,0,0,1,1,1,1,0,0,0.0978637885628132,0.0377039594476037,0.23714465773809
0,0,0,0,1,1,1,1,0,1,0.109069023570102,0.0419441488088041,0.262344172751678
0,0,0,0,1,1,1,1,1,0,0.0968589425109373,0.0372241118605107,0.2331875434821
0,0,0,0,1,1,1,1,1,1,0.107094031044966,0.0416508345218562,0.25861876052904
0,0,0,1,0,0,0,0,0,0,0.00747357783230281,0.00490810431976945,0.011541447980145
0,0,0,1,0,0,0,0,0,1,0.00832226450994824,0.00550532416401861,0.0129419329172865
0,0,0,1,0,0,0,0,1,0,0.00738540291810369,0.00485085598359053,0.0113369178438852
0,0,0,1,0,0,0,0,1,1,0.00819541769320513,0.00531783028639546,0.0127287568524971
0,0,0,1,0,0,0,1,0,0,0.0220148244634783,0.0127911955242706,0.0370454776008416
0,0,0,1,0,0,0,1,0,1,0.0243992030876486,0.0144024974808716,0.042196774551017
