,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12,RF13,RF14,RF15,est,lci,uci
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.691,1.131,2.466
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.117,3.024,5.575
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.547,3.409,9.126
5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.489,2.321,2.659
6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.373,2.212,4.941
7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8.165,5.999,11.101
8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11.003,6.767,17.925
9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.331,1.697,3.117
10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.145,1.881,5.006
11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7.627,4.9,11.552
12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,10.369,5.703,18.608
13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.644,3.403,6.263
14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,6.247,3.741,10.056
15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,15.254,9.784,23.204
16,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,20.538,11.445,36.7
17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.756,1.612,1.906
18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.375,1.553,3.52
19,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5.822,4.182,7.844
20,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,7.771,4.746,12.988
21,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3.496,3.123,3.893
22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4.717,3.101,7.053
23,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,11.524,8.333,15.831
24,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,15.456,9.439,25.953
25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.275,2.353,4.447
26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4.402,2.651,7.084
27,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,10.741,6.846,16.512
28,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,14.535,7.879,26.45
29,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6.525,4.665,8.922
30,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,8.743,5.187,14.086
31,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,21.418,13.597,32.949
32,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,29.045,15.99,51.507
33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.941,1.3,2.817
34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2.6,1.488,4.511
35,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6.357,3.761,10.529
36,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,8.554,4.648,16.462
37,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3.852,2.561,5.625
38,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,5.156,2.954,9.058
39,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,12.663,7.504,21.029
40,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,16.994,9.292,32.558
41,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3.594,2.217,5.738
42,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4.82,2.583,8.981
43,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,11.878,6.465,21.47
44,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,15.719,7.928,31.734
