"","RF1","RF2","RF3","RF4","RF5","RF6","RF7","RF8","RF9","RF10","RF11","RF12","RF13","RF14","RF15","Hosp_rate","Hosp_rate.lci","Hosp_rate.uci","Hosp_Prob1","Hosp_Prob.lci","Hosp_Prob.uci","Hosp_Prob"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0.008,0.00199800133266693,0.000999500166625008,0.00796808516293937,"  0.20"
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.004,0.002,0.012,0.00399201065600853,0.00199800133266693,0.0119282871380695,"  0.40"
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.009,0.004,0.03,0.00895962122711634,0.00399201065600853,0.0295544664514918,"  0.90"
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.012,0.005,0.042,0.0119282871380695,0.00498752080731769,0.0411302194275154,"  1.19"
"5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.005,0.002,0.018,0.00498752080731769,0.00199800133266693,0.0178389676416993,"  0.50"
"6",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.007,0.003,0.024,0.0069755570667649,0.00299550449662702,0.0237142902420907,"  0.70"
"7",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.018,0.007,0.059,0.0178389676416993,0.0069755570667649,0.0572932308429002,"  1.78"
"8",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.024,0.01,0.084,0.0237142902420907,0.00995016625083195,0.0805687439048753,"  2.37"
"9",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.005,0.002,0.018,0.00498752080731769,0.00199800133266693,0.0178389676416993,"  0.50"
"10",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.007,0.003,0.024,0.0069755570667649,0.00299550449662702,0.0237142902420907,"  0.70"
"11",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.017,0.006,0.057,0.0168563153650904,0.00598203594606474,0.0554059306334767,"  1.69"
"12",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.023,0.008,0.079,0.0227375162267229,0.00796808516293937,0.0759600755549132,"  2.27"
"13",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.01,0.004,0.036,0.00995016625083195,0.00399201065600853,0.035359706516877,"  1.00"
"14",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.014,0.005,0.046,0.0139024557371381,0.00498752080731769,0.0449580378092854,"  1.39"
"15",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.033,0.013,0.11,0.032461440410968,0.0129158649797124,0.104165864703472,"  3.25"
"16",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.045,0.017,0.154,0.0440025181669001,0.0168563153650904,0.142727978988543,"  4.40"
"17",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.004,0.002,0.013,0.00399201065600853,0.00199800133266693,0.0129158649797124,"  0.40"
